N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"61,900",100,+0.16%,100,"3,695,295","5,969,783",49.81,"10,699,077",9.71,13.92,
2,LG에너지솔루션,"415,500","22,000",+5.59%,500,"972,270","234,000",3.45,"1,538,305",132.41,10.68,
3,SK하이닉스,"99,400",600,-0.60%,"5,000","723,634","728,002",49.86,"3,345,588",6.83,16.84,
4,삼성바이오로직스,"863,000","22,000",+2.62%,"2,500","614,232","71,174",10.70,"108,441",120.50,8.21,
5,삼성전자우,"57,000",900,+1.60%,100,"469,045","822,887",72.04,"770,401",8.95,N/A,
6,LG화학,"598,000","33,000",+5.84%,"5,000","422,142","70,592",47.49,"552,533",15.34,18.47,
7,현대차,"195,000","1,000",-0.51%,"5,000","416,653","213,668",27.17,"755,173",10.39,6.84,
8,NAVER,"247,000","1,000",+0.41%,100,"405,201","164,049",53.16,"560,827",30.03,106.72,
9,삼성SDI,"578,000","22,000",+3.96%,"5,000","397,459","68,765",42.81,"257,067",29.22,8.45,
10,기아,"80,500",300,-0.37%,"5,000","326,317","405,363",36.18,"1,236,039",6.86,14.69,
11,카카오,"72,400",500,+0.70%,100,"322,143","444,948",28.74,"1,220,528",13.04,17.10,
12,셀트리온,"190,000",500,+0.26%,"1,000","267,459","140,768",20.79,"348,796",52.98,16.04,
13,삼성물산,"120,000","2,500",+2.13%,100,"224,264","186,887",16.35,"327,133",17.07,5.40,
14,현대모비스,"229,000","2,000",+0.88%,"5,000","216,572","94,573",34.23,"195,291",9.55,6.87,
15,POSCO홀딩스,"238,500","2,000",+0.85%,"5,000","207,941","87,187",53.01,"179,076",2.85,13.97,
16,KB금융,"47,650",50,-0.10%,"5,000","196,486","412,352",72.77,"888,309",4.31,9.80,
17,신한지주,"35,700",50,+0.14%,"5,000","183,117","512,934",61.95,"922,172",4.51,8.80,
18,SK이노베이션,"182,000",500,-0.27%,"5,000","168,287","92,466",25.45,"324,957",11.57,1.91,
19,SK,"218,500","1,000",-0.46%,200,"162,016","74,149",22.03,"120,764",5.33,10.19,
20,LG전자,"93,600",700,-0.74%,"5,000","153,174","163,648",26.66,"661,282",13.43,6.32,
